Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",Mousebite_5,4,,
"C1, C2",1206,2,C_1206_1NF,C1845
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",SOD123,34,SOD123,C917030
"H1, H2",mounting_hole_plated,2,,
"L1, L4",0805,2,LED_0805_R,C19171391
"L2, L5",0805,2,LED_0805_G,C25170728
"L3, L6",0805,2,LED_0805_B,C19273154
"MCU1, MCU2",smdXIAO-nRF52840,2,XIAO-nRF52840-SMD,
"MH1, MH2, MH3, MH4, MH5, MH6, MH7, MH8",mounting_hole_npth,8,,
POWER1,power_switch,1,PWR_SW,C2911519
PWR_SW,power_switch,1,POWER1,C2911519
"R1, R2, R3, R4, R5, R6",1206,6,R_1206 _220R,C17957
"R7, R8",1206,2,R_1206_1MR,C17927
"RST1, RST2",reset_switch_smd_side,2,SW_RST,C79175
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW4, SW5, SW6, SW7, SW8, SW9",GENERIC_ULP_SMD,34,ULP_SW,C48887637
"TH1, TH2",simple_tht_fp,2,,
